AAE;Algeria
AAL;Denmark
ABJ;Côte d'Ivoire
ADB;Turkey
AHU;Morocco
ALG;Algeria
AMM;Jordan
AMS;Netherlands
ARN;Sweden
ATH;Greece
AYT;Turkey
BCN;Spain
BDS;Italy
BEG;Serbia
BEY;Lebanon
BJA;Algeria
BKO;Mali
BLL;Denmark
BLQ;Italy
BOD;France
BRI;Italy
BRQ;Czech Republic
BRU;Belgium
BTS;Slovakia
BUD;Hungary
BYJ;Portugal
CAG;Italy
CAI;Egypt
CDG;France
CGN;Germany
CKY;Guinea
CMN;Morocco
COO;Benin
CPH;Denmark
CRL;Belgium
CTA;Italy
CZL;Algeria
DKR;Senegal
DOH;Qatar
DSS;Senegal
DUS;Germany
EBL;Iraqi Kurdistan
ESB;Turkey
FBM;Republic of the Congo
FCO;Italy
FIH;Republic of the Congo
FRA;Germany
GHA;Algeria
GNB;France
GVA;Switzerland
HAJ;Germany
HAM;Germany
HBE;Egypt
IEV;Ukraine
IST;Turkey
JED;Saudi Arabia
JIB;Djibouti
KBP;Ukraine
KEF;Iceland
KGL; Rwanda
KRR;Russia
KRT;Sudan
KSC;Slovakia
KTW;Poland
LAD;Angola
LBV;Gabon
LED;Russia
LFW;Togo
LGW;England
LHR;England
LIL;France
LIS;Portugal
LJU;Slovenia
LUX;Luxembourg
LYS;France
MAD;Spain
MED;Saudi Arabia
MLA;Malta
MRS;France
MUC;Germany
MVB;Gabon
MXP;Italy
NAP;Italy
NCE;France
NDR;Morocco
NIM;Niger
NKC;Mauritania
NTE;France
OPO; Portugal
ORN;Algeria
ORY;France
OSR;Czech Republic
OST;Belgium
OTP;Romania
OUA;Burkina Faso
OUD;Morocco
PMO;Italy
PRG;Czech Republic
PSA;Italy
RAK;Morocco
RTM;Netherlands
SJJ;Bosnia and Herzegovina
SKG;Greece
SKX;United States
STR;Germany
SVO;Russia
SXB;France
SXF;Germany
TLL;Estonia
TLS;France
TMR;Algeria
TNG;Morocco
TPS;Italy
TRN;Italy
VCE;Italy
VIE;Austria
VKO;Russia
VNO;Lithuania
VOG;Russia
VRN;Italy
YUL;Canada
ZRH;Switzerland
